Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,68,,DIST_KER,,2026,,0.0858,0.0858,0.0858,0.0858,,,,1.0889,0.936969,,,0.936969,,,,,,1.037,,Energy
LTS,68,,DIST_KER,,2027,,0.0848,0.0848,0.0848,0.0848,,,,1.09869,0.91991,,,0.91991,,,,,,0.9965,,Energy
LTS,68,,DIST_KER,,2028,,0.0839,0.0839,0.0839,0.0839,,,,1.10928,0.903743,,,0.903743,,,,,,0.9582,,Energy
LTS,68,,DIST_KER,,2029,,0.0829,0.0829,0.0829,0.0829,,,,1.11804,0.886325,,,0.886325,,,,,,0.9198,,Energy
LTS,68,,DIST_KER,,2030,,0.082,0.082,0.082,0.082,,,,1.12765,0.869847,,,0.869847,,,,,,0.8835,,Energy
LTS,68,,DIST_KER,,2031,,0.081,0.081,0.081,0.081,,,,1.13537,0.852197,,,0.852197,,,,,,0.8472,,Energy
LTS,68,,DIST_KER,,2032,,0.0799,0.0799,0.0799,0.0799,,,,1.14114,0.833443,,,0.833443,,,,,,0.811,,Energy
LTS,68,,DIST_KER,,2033,,0.0787,0.0787,0.0787,0.0787,,,,1.14486,0.813626,,,0.813626,,,,,,0.7749,,Energy
LTS,68,,DIST_KER,,2034,,0.0776,0.0776,0.0776,0.0776,,,,1.14944,0.794861,,,0.794861,,,,,,0.7409,,Energy
LTS,68,,DIST_KER,,2035,,0.0765,0.0765,0.0765,0.0765,,,,1.15343,0.77612,,,0.77612,,,,,,0.7081,,Energy
