Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,0,,DIST_NGS,,2021,,24.5082,24.5082,24.5082,24.5082,,,,172.94,168.772,,,168.772,,,,,,210.5302,,Energy
LTS,0,,DIST_NGS,,2022,,25.4084,25.4084,25.4084,25.4084,,,,179.592,166.918,,,166.918,,,,,,208.1379,,Energy
LTS,0,,DIST_NGS,,2023,,26.5315,26.5315,26.5315,26.5315,,,,185.33,164.049,,,164.049,,,,,,204.482,,Energy
LTS,0,,DIST_NGS,,2024,,27.0695,27.0695,27.0695,27.0695,,,,191.655,161.569,,,161.569,,,,,,201.3144,,Energy
LTS,0,,DIST_NGS,,2025,,27.9061,27.9061,27.9061,27.9061,,,,195.262,156.771,,,156.771,,,,,,195.262,,Energy
LTS,0,,DIST_NGS,,2026,,26.5612,26.5612,26.5612,26.5612,,,,188.369,144.035,,,144.035,,,,,,179.3307,,Energy
LTS,0,,DIST_NGS,,2027,,27.2228,27.2228,27.2228,27.2228,,,,195.642,142.473,,,142.473,,,,,,177.3179,,Energy
LTS,0,,DIST_NGS,,2028,,26.5779,26.5779,26.5779,26.5779,,,,193.527,134.221,,,134.221,,,,,,166.985,,Energy
LTS,0,,DIST_NGS,,2029,,26.5862,26.5862,26.5862,26.5862,,,,196.108,129.534,,,129.534,,,,,,161.0929,,Energy
LTS,0,,DIST_NGS,,2030,,24.5919,24.5919,24.5919,24.5919,,,,183.726,115.577,,,115.577,,,,,,143.6802,,Energy
LTS,0,,DIST_NGS,,2031,,23.7566,23.7566,23.7566,23.7566,,,,179.737,107.684,,,107.684,,,,,,133.8164,,Energy
LTS,0,,DIST_NGS,,2032,,23.4519,23.4519,23.4519,23.4519,,,,179.656,102.509,,,102.509,,,,,,127.3382,,Energy
LTS,0,,DIST_NGS,,2033,,23.147,23.147,23.147,23.147,,,,179.514,97.5511,,,97.5511,,,,,,121.1325,,Energy
LTS,0,,DIST_NGS,,2034,,22.8421,22.8421,22.8421,22.8421,,,,179.315,92.8028,,,92.8028,,,,,,115.1925,,Energy
LTS,0,,DIST_NGS,,2035,,20.4143,20.4143,20.4143,20.4143,,,,162.189,79.9424,,,79.9424,,,,,,99.1915,,Energy
LTS,0,,DIST_NGS,,2036,,17.3488,17.3488,17.3488,17.3488,,,,139.479,65.4751,,,65.4751,,,,,,81.2095,,Energy
LTS,0,,DIST_NGS,,2037,,14.2834,14.2834,14.2834,14.2834,,,,116.188,51.9444,,,51.9444,,,,,,64.4028,,Energy
LTS,0,,DIST_NGS,,2038,,11.2179,11.2179,11.2179,11.2179,,,,92.3152,39.3061,,,39.3061,,,,,,48.7149,,Energy
LTS,0,,DIST_NGS,,2039,,8.15233,8.15233,8.15233,8.15233,,,,67.8608,27.518,,,27.518,,,,,,34.092,,Energy
LTS,0,,DIST_NGS,,2040,,5.0867,5.0867,5.0867,5.0867,,,,42.8239,16.5385,,,16.5385,,,,,,20.4817,,Energy
LTS,0,,DIST_NGS,,2041,,5.0999,5.0999,5.0999,5.0999,,,,43.4185,15.9696,,,15.9696,,,,,,19.7697,,Energy
LTS,0,,DIST_NGS,,2042,,5.113,5.113,5.113,5.113,,,,43.53,15.2482,,,15.2482,,,,,,18.8694,,Energy
LTS,0,,DIST_NGS,,2043,,5.1261,5.1261,5.1261,5.1261,,,,43.6416,14.5593,,,14.5593,,,,,,18.0101,,Energy
LTS,0,,DIST_NGS,,2044,,5.1392,5.1392,5.1392,5.1392,,,,43.7531,13.9015,,,13.9015,,,,,,17.1897,,Energy
LTS,0,,DIST_NGS,,2045,,5.1522,5.1522,5.1522,5.1522,,,,43.8638,13.273,,,13.273,,,,,,16.4064,,Energy
LTS,0,,DIST_NGS,,2046,,5.1667,5.1667,5.1667,5.1667,,,,43.9872,12.6765,,,12.6765,,,,,,15.6631,,Energy
LTS,0,,DIST_NGS,,2047,,5.1812,5.1812,5.1812,5.1812,,,,44.1107,12.1067,,,12.1067,,,,,,14.9534,,Energy
LTS,0,,DIST_NGS,,2048,,5.1955,5.1955,5.1955,5.1955,,,,44.2324,11.5621,,,11.5621,,,,,,14.2752,,Energy
LTS,0,,DIST_NGS,,2049,,5.2098,5.2098,5.2098,5.2098,,,,44.3542,11.0418,,,11.0418,,,,,,13.6277,,Energy
LTS,0,,DIST_NGS,,2050,,5.2241,5.2241,5.2241,5.2241,,,,44.4759,10.5448,,,10.5448,,,,,,13.0094,,Energy
LTS,0,,DIST_NGS,,2051,,5.2383,5.2383,5.2383,5.2383,,,,44.5968,10.07,,,10.07,,,,,,12.4188,,Energy
LTS,0,,DIST_NGS,,2052,,5.2525,5.2525,5.2525,5.2525,,,,44.7177,9.61649,,,9.61649,,,,,,11.855,,Energy
LTS,0,,DIST_NGS,,2053,,5.2666,5.2666,5.2666,5.2666,,,,44.8377,9.18314,,,9.18314,,,,,,11.3165,,Energy
LTS,0,,DIST_NGS,,2054,,5.2807,5.2807,5.2807,5.2807,,,,44.9578,8.76927,,,8.76927,,,,,,10.8024,,Energy
LTS,0,,DIST_NGS,,2055,,5.2947,5.2947,5.2947,5.2947,,,,45.077,8.37382,,,8.37382,,,,,,10.3113,,Energy
LTS,0,,DIST_LPG,,2021,,4.4822,4.4822,4.4822,4.4822,,,,97.0204,94.6822,,,94.6822,,,,,,118.1087,,Energy
