Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,78,,DIST_LPG,,2030,,6.2047,6.2047,6.2047,6.2047,,,,136.081,104.971,,,104.971,,,,,,106.623,,Energy
BAU,78,,DIST_LPG,,2031,,6.35,6.35,6.35,6.35,,,,142.724,107.127,,,107.127,,,,,,106.5028,,Energy
BAU,78,,DIST_LPG,,2032,,6.4962,6.4962,6.4962,6.4962,,,,149.544,109.221,,,109.221,,,,,,106.2781,,Energy
BAU,78,,DIST_LPG,,2033,,6.6434,6.6434,6.6434,6.6434,,,,156.548,111.254,,,111.254,,,,,,105.9578,,Energy
BAU,78,,DIST_LPG,,2034,,6.7913,6.7913,6.7913,6.7913,,,,163.728,113.221,,,113.221,,,,,,105.5405,,Energy
BAU,78,,DIST_LPG,,2035,,6.9403,6.9403,6.9403,6.9403,,,,171.097,115.128,,,115.128,,,,,,105.0387,,Energy
BAU,78,,DIST_LPG,,2036,,7.0882,7.0882,7.0882,7.0882,,,,178.6,116.937,,,116.937,,,,,,104.4237,,Energy
BAU,78,,DIST_LPG,,2037,,7.237,7.237,7.237,7.237,,,,186.287,118.683,,,118.683,,,,,,103.7316,,Energy
BAU,78,,DIST_LPG,,2038,,7.3867,7.3867,7.3867,7.3867,,,,194.159,120.364,,,120.364,,,,,,102.9667,,Energy
BAU,78,,DIST_LPG,,2039,,7.5371,7.5371,7.5371,7.5371,,,,202.214,121.979,,,121.979,,,,,,102.1318,,Energy
BAU,78,,DIST_LPG,,2040,,7.6885,7.6885,7.6885,7.6885,,,,210.46,123.531,,,123.531,,,,,,101.2349,,Energy
BAU,78,,DIST_LPG,,2041,,7.8342,7.8342,7.8342,7.8342,,,,218.71,124.913,,,124.913,,,,,,100.1936,,Energy
BAU,78,,DIST_LPG,,2042,,7.9805,7.9805,7.9805,7.9805,,,,227.138,126.23,,,126.23,,,,,,99.0996,,Energy
BAU,78,,DIST_LPG,,2043,,8.1275,8.1275,8.1275,8.1275,,,,235.744,127.482,,,127.482,,,,,,97.9565,,Energy
BAU,78,,DIST_LPG,,2044,,8.2752,8.2752,8.2752,8.2752,,,,244.531,128.669,,,128.669,,,,,,96.7692,,Energy
BAU,78,,DIST_LPG,,2045,,8.4234,8.4234,8.4234,8.4234,,,,253.493,129.79,,,129.79,,,,,,95.5388,,Energy
